Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Accounting,46000,77100,42200,52200,100500,150000
Aerospace Engineering,57700,101000,64400,79600,127000,161000
Agricultural Economics,42600,95300,48700,60900,117000,171000
Architecture,50000,76800,50600,60700,108000,136000
Art History,35800,64900,32000,42200,87000,126000
Biology,33400,64800,33800,43000,90700,135000
Business Management,43000,83000,42300,55600,112000,162000
Chemical Engineering,63200,107000,71900,84100,135000,169000
Chemistry,45300,79900,45000,57200,106000,150000
Civil Engineering,53500,90500,50100,64800,115000,150000
Computer Engineering,61400,105000,68000,82000,135000,160000
Computer Science,55900,95500,56000,72000,125000,145000
Construction,53700,88900,52000,66000,110000,145000
Economics,46200,98600,49000,65000,130000,175000
Electrical Engineering,60900,103000,65000,80000,130000,165000
English,33400,79300,40000,52000,105000,145000
Film,32900,67400,36000,45000,90000,135000
Finance,46200,88300,47200,61000,115000,160000
Fine Arts,33400,56900,28000,37500,77000,115000
Forestry,39100,62600,35000,45000,82000,110000
Geology,43500,79500,42000,54000,105000,145000
Graphic Design,35700,59800,33000,42000,80000,120000
Health Care Administration,38800,60000,35000,44000,79000,110000
History,39200,71000,35000,47000,95000,135000
Hospitality Management,36500,65000,34000,45000,85000,125000
Human Resources,38500,66400,36000,47000,87000,125000
Industrial Engineering,57700,94700,60000,73000,120000,150000
Information Technology,49100,80000,45000,60000,105000,140000
International Relations,38500,80900,39000,53000,108000,150000
Journalism,35100,66700,35000,45000,90000,135000
Marketing,40800,79600,39000,52000,106000,150000
Mathematics,45400,93900,48000,63000,125000,170000
Mechanical Engineering,57900,93600,58000,72000,120000,150000
Music,35900,54800,28000,37000,74000,105000
Nursing,54200,67000,45000,54000,85000,105000
Philosophy,39800,81200,35000,50000,110000,160000
Physics,50300,97300,50000,65000,130000,175000
Political Science,37900,78200,36000,50000,105000,150000
Psychology,35900,65000,35000,45000,85000,125000
Public Administration,38600,70000,35000,47000,92000,135000
Sociology,36500,70700,35000,47000,95000,140000
Software Engineering,56000,92000,54000,68000,120000,150000
Statistics,53500,99000,55000,70000,130000,175000
Theology,34000,52000,27000,35000,70000,100000
