Date,Description,Category,Type,Amount
2026-01-05,Monthly Salary,Salary,Income,5000
2026-01-10,Groceries,Food,Expense,250
2026-01-15,Transport,Transport,Expense,100
2026-02-03,Freelance Work,Freelance,Income,1200
2026-02-12,Shopping,Shopping,Expense,350
2026-02-20,Restaurant,Food,Expense,180
2026-03-02,Monthly Salary,Salary,Income,5000
2026-03-11,Electricity Bill,Bills,Expense,200
2026-03-25,Groceries,Food,Expense,300
2026-04-05,Freelance Work,Freelance,Income,1500
2026-04-18,Entertainment,Entertainment,Expense,250
2026-05-01,Monthly Salary,Salary,Income,5000
