area_sqft,bedrooms,bathrooms,location,price
3832,5.0,4.0,Gulshan,69161859.63
2964,3.0,4.0,Model Town,65587837.26
1640,2.0,2.0,Clifton,56395585.23
1077,1.0,2.0,Clifton,33949045.41
2650,3.0,4.0,Gulberg,64314602.28
2823,4.0,4.0,Gulberg,71533511.13
1434,1.0,2.0,Gulberg,36244165.79
2764,3.0,3.0,PECHS,69294524.55
4698,5.0,5.0,PECHS,93272426.77
2739,4.0,4.0,Clifton,91217627.14
1587,,1.0,Gulshan,27909918.96
3498,4.0,3.0,North Nazimabad,45109606.47
4138,4.0,5.0,Gulshan,81622337.87
4385,5.0,4.0,PECHS,106869403.58
2580,1.0,2.0,PECHS,52667658.92
2630,4.0,4.0,Model Town,64208405.37
4851,7.0,7.0,Gulberg,148997391.3
1749,3.0,3.0,Gulberg,49629494.26
4532,,5.0,Gulshan,86927226.78
2550,2.0,1.0,DHA,87891119.28
2805,3.0,3.0,North Nazimabad,38409901.87
1935,2.0,1.0,Model Town,46666300.23
2110,4.0,3.0,Model Town,52801659.61
3653,5.0,6.0,Gulshan,66643338.02
2273,3.0,2.0,PECHS,50666632.27
3270,5.0,6.0,Gulberg,89951945.07
4827,6.0,5.0,Gulberg,127262920.72
3349,2.0,3.0,PECHS,69347105.65
1815,2.0,1.0,DHA,69908932.52
4389,6.0,7.0,North Nazimabad,64627817.45
2192,2.0,2.0,Bahria Town,66538893.03
1802,1.0,1.0,Gulberg,49322474.93
2002,3.0,3.0,DHA,68524168.6
4527,8.0,9.0,PECHS,95928138.84
1681,1.0,1.0,DHA,62246327.9
1920,3.0,3.0,Model Town,52135996.83
5122,6.0,7.0,PECHS,109521072.33
4102,4.0,5.0,Gulshan,67719787.99
1500,3.0,2.0,Gulshan,25236762.43
1854,2.0,1.0,Bahria Town,57093245.92
1212,1.0,1.0,DHA,40084289.88
1006,1.0,1.0,Gulshan,19100283.19
1016,1.0,2.0,DHA,38752336.28
2459,4.0,4.0,Model Town,55647336.19
3484,4.0,4.0,North Nazimabad,58845151.46
1840,3.0,3.0,Gulshan,28406446.36
1613,2.0,2.0,DHA,61599605.3
2658,3.0,4.0,North Nazimabad,40349273.17
1565,2.0,1.0,North Nazimabad,22410134.83
1336,1.0,2.0,North Nazimabad,21719200.69
1086,1.0,2.0,Gulshan,20462157.94
935,2.0,3.0,Clifton,33086850.71
3911,5.0,4.0,DHA,148205009.69
1348,3.0,3.0,Gulberg,40423605.91
4107,5.0,4.0,Model Town,104668309.06
5134,6.0,6.0,Model Town,136082158.19
1455,2.0,3.0,North Nazimabad,19886270.46
1358,1.0,1.0,Bahria Town,40446613.26
2243,3.0,3.0,Bahria Town,77183486.03
1309,1.0,2.0,Model Town,35426969.72
1400,2.0,3.0,DHA,59669900.24
1350,3.0,4.0,DHA,53162111.7
1523,1.0,2.0,Clifton,56083993.13
5431,7.0,7.0,Gulshan,107356076.63
2066,1.0,2.0,Clifton,70129722.81
3153,4.0,3.0,Gulshan,61196330.22
1269,1.0,2.0,DHA,50424096.95
4680,7.0,6.0,PECHS,109245301.36
1745,1.0,1.0,DHA,68921042.7
3037,5.0,5.0,North Nazimabad,50100331.73
1245,2.0,1.0,Gulberg,37192118.9
1238,3.0,3.0,PECHS,29019412.87
4753,6.0,5.0,Clifton,184846598.23
2255,3.0,4.0,Gulshan,42927855.82
812,1.0,1.0,DHA,33477761.84
3631,4.0,5.0,Model Town,82787755.04
2983,4.0,4.0,Model Town,68783980.18
4026,4.0,4.0,PECHS,91879199.96
2287,3.0,,Bahria Town,64667561.9
2991,5.0,5.0,PECHS,67601888.25
2438,3.0,3.0,PECHS,62925720.28
3689,5.0,4.0,Clifton,133943116.47
1810,3.0,2.0,Bahria Town,54443104.29
1765,1.0,1.0,Clifton,56192013.93
1428,1.0,2.0,PECHS,32697098.39
2537,3.0,3.0,DHA,95173103.35
1912,3.0,2.0,DHA,65849244.95
3645,5.0,5.0,Clifton,108195777.79
4444,8.0,7.0,Bahria Town,141012020.32
1641,3.0,4.0,Model Town,46023506.12
4409,7.0,8.0,DHA,157869842.77
2803,4.0,3.0,Clifton,90678451.83
2989,4.0,4.0,Clifton,89834275.14
1571,1.0,1.0,North Nazimabad,23168056.85
861,1.0,1.0,Bahria Town,21326414.95
3233,5.0,4.0,PECHS,70633280.28
1710,3.0,4.0,Gulberg,49887274.65
4746,5.0,4.0,Bahria Town,145360478.4
1173,1.0,1.0,Model Town,31388149.8
3820,5.0,6.0,Gulshan,76026383.63
5542,7.0,6.0,North Nazimabad,90211350.37
3825,4.0,4.0,Bahria Town,104940183.54
3091,4.0,4.0,Bahria Town,97981275.75
2476,4.0,4.0,North Nazimabad,43079119.11
2250,2.0,3.0,DHA,81815541.54
1497,2.0,3.0,Clifton,53364311.1
5769,8.0,9.0,Gulberg,141515020.47
4312,6.0,5.0,Model Town,113240007.1
2975,6.0,,North Nazimabad,49156547.83
3341,4.0,4.0,Bahria Town,102514292.9
2897,3.0,3.0,North Nazimabad,38102126.03
1854,1.0,2.0,DHA,67338873.42
4661,5.0,6.0,Model Town,114504763.43
4563,6.0,5.0,PECHS,116185439.38
2072,2.0,3.0,DHA,76040628.68
681,1.0,1.0,DHA,23992285.72
2116,2.0,3.0,Gulshan,36643565.97
1587,3.0,2.0,Gulshan,28719438.72
805,1.0,2.0,Clifton,27585585.41
2608,4.0,3.0,North Nazimabad,37583684.05
2123,4.0,3.0,Bahria Town,66333739.92
2446,3.0,3.0,Bahria Town,74058779.97
1358,1.0,1.0,Gulshan,21822555.55
926,1.0,2.0,DHA,36258901.8
1848,2.0,2.0,Gulshan,29757414.14
3887,4.0,3.0,North Nazimabad,50812674.96
3089,4.0,3.0,Gulshan,55232110.85
3055,4.0,5.0,Gulshan,57974581.36
3053,5.0,5.0,Gulberg,78747497.7
1403,1.0,2.0,North Nazimabad,24623705.17
2644,4.0,3.0,Bahria Town,82316232.48
1607,3.0,4.0,Model Town,35240375.54
2594,3.0,3.0,Gulberg,73738563.02
4480,5.0,5.0,Bahria Town,131995851.41
2860,3.0,3.0,Gulshan,49938112.37
2972,5.0,5.0,Model Town,68351611.09
3463,5.0,6.0,DHA,146483297.35
972,1.0,2.0,Clifton,36387272.62
2078,2.0,1.0,Bahria Town,65948941.0
2467,,4.0,Clifton,72999538.32
2923,3.0,4.0,PECHS,71691196.99
5017,6.0,7.0,PECHS,119264444.84
4133,5.0,6.0,North Nazimabad,67330510.07
5877,6.0,6.0,Gulshan,93843681.82
4678,7.0,8.0,Bahria Town,135909737.55
1782,2.0,1.0,North Nazimabad,29181950.14
1183,2.0,1.0,Gulshan,22172217.94
1790,1.0,1.0,Gulberg,50223105.13
2227,5.0,6.0,Model Town,63322693.23
3513,4.0,3.0,Model Town,87247742.55
1792,2.0,1.0,Clifton,55685235.4
2917,4.0,5.0,Bahria Town,95214926.88
1592,2.0,1.0,Clifton,50424632.32
5006,7.0,7.0,DHA,191633227.77
5657,7.0,7.0,Gulberg,157108354.24
3048,3.0,2.0,PECHS,61872531.8
4317,5.0,4.0,Bahria Town,140019749.23
4742,6.0,,North Nazimabad,68430768.17
3472,4.0,3.0,Bahria Town,89786035.73
2656,3.0,4.0,North Nazimabad,39794352.17
3520,5.0,4.0,Model Town,99081945.37
4729,6.0,7.0,DHA,165197264.11
957,1.0,1.0,DHA,32145163.74
1861,2.0,2.0,Model Town,40654690.99
1864,3.0,4.0,North Nazimabad,26544482.4
4078,7.0,8.0,North Nazimabad,69054359.29
1196,2.0,2.0,Gulberg,34802878.89
4153,4.0,4.0,Bahria Town,123872297.2
3636,4.0,5.0,Gulberg,106846011.59
4865,4.0,5.0,Model Town,133532288.37
1756,2.0,2.0,Bahria Town,56653036.96
4858,6.0,5.0,Model Town,109861087.01
2038,3.0,4.0,DHA,83011124.47
2511,4.0,4.0,Gulberg,73787704.16
2706,4.0,4.0,PECHS,59080189.84
