Invoice_ID,Date,Product,Category,Customer,Region,Salesperson,Units_Sold,Unit_Price,Discount,Payment_Method,Sales,Cost,Profit,Month,Quarter,Year
INV-211777,2021-08-07 19:23:03.091006,Action Figure,Toys,Customer_1673,Asia,Rep_82,4,20.33,0.0,Credit Card,81.32,46.7,34.62,8,3,2021
INV-216147,2021-08-07 19:23:03.091006,Desk Lamp,Home & Garden,Customer_8848,Oceania,Rep_55,4,57.72,0.0,Debit Card,230.88,137.49,93.39,8,3,2021
INV-248817,2021-08-07 19:23:03.091006,RC Car,Toys,Customer_9004,Oceania,Rep_12,8,78.91,0.15,Debit Card,536.59,338.72,197.87,8,3,2021
INV-244184,2021-08-07 19:23:03.091006,Smartwatch,Electronics,Customer_8739,Asia,Rep_36,14,235.2,0.0,Credit Card,3292.8,1885.59,1407.21,8,3,2021
INV-218508,2021-08-07 19:23:03.091006,Headphones,Electronics,Customer_6103,Europe,Rep_16,5,203.06,0.0,Apple Pay,1015.3,533.86,481.44,8,3,2021
INV-244547,2021-08-07 19:23:03.091006,Coffee Maker,Home & Garden,Customer_4871,Oceania,Rep_40,1,147.32,0.0,PayPal,147.32,85.09,62.23,8,3,2021
INV-207557,2021-08-07 19:23:03.091006,Yoga Mat,Sports,Customer_7984,North America,Rep_81,1,28.25,0.0,Bank Transfer,28.25,16.65,11.6,8,3,2021
INV-231653,2021-08-07 19:23:03.091006,Vacuum Cleaner,Home & Garden,Customer_1409,Europe,Rep_29,2,112.74,0.0,PayPal,225.48,149.73,75.75,8,3,2021
INV-210099,2021-08-07 19:23:03.091006,Vacuum Cleaner,Home & Garden,Customer_4912,Asia,Rep_87,12,192.89,0.05,Debit Card,2198.95,1460.52,738.43,8,3,2021
INV-233261,2021-08-07 19:23:03.091006,Puzzle,Toys,Customer_5160,Oceania,Rep_83,3,20.12,0.05,Apple Pay,57.34,34.56,22.78,8,3,2021
INV-228778,2021-08-07 19:23:03.091006,Laptop,Electronics,Customer_1123,Asia,Rep_95,14,1099.31,0.1,PayPal,13851.31,10633.56,3217.75,8,3,2021
INV-228793,2021-08-07 19:23:03.091006,Headphones,Electronics,Customer_8480,Europe,Rep_69,6,99.88,0.0,Apple Pay,599.28,326.32,272.96,8,3,2021
INV-235994,2021-08-07 19:23:03.091006,Bed Sheets,Home & Garden,Customer_2759,North America,Rep_69,4,54.16,0.15,Apple Pay,184.14,111.81,72.33,8,3,2021
INV-203165,2021-08-07 19:23:03.091006,Blender,Home & Garden,Customer_3787,Oceania,Rep_61,1,58.63,0.0,PayPal,58.63,31.3,27.33,8,3,2021
INV-223354,2021-08-07 19:23:03.091006,Tennis Racket,Sports,Customer_4413,Asia,Rep_62,12,124.75,0.1,PayPal,1347.3,960.52,386.78,8,3,2021
INV-239915,2021-08-07 19:23:03.091006,Tennis Racket,Sports,Customer_3823,South America,Rep_95,14,64.6,0.05,PayPal,859.18,485.12,374.06,8,3,2021
INV-213809,2021-08-07 19:23:03.091006,Dumbbells Set,Sports,Customer_7155,North America,Rep_15,4,52.59,0.0,Bank Transfer,210.36,108.09,102.27,8,3,2021
INV-207996,2021-08-07 19:23:03.091006,RC Car,Toys,Customer_4690,Europe,Rep_76,11,50.67,0.1,Apple Pay,501.63,360.58,141.05,8,3,2021
INV-223137,2021-08-08 19:23:03.091006,Action Figure,Toys,Customer_1284,Europe,Rep_10,7,14.56,0.0,Debit Card,101.92,53.62,48.3,8,3,2021
INV-239602,2021-08-08 19:23:03.091006,Dumbbells Set,Sports,Customer_6420,Oceania,Rep_96,13,118.8,0.05,Credit Card,1467.18,1052.16,415.02,8,3,2021
INV-236610,2021-08-08 19:23:03.091006,RC Car,Toys,Customer_8530,Oceania,Rep_38,8,84.37,0.0,Apple Pay,674.96,400.36,274.6,8,3,2021
INV-200623,2021-08-08 19:23:03.091006,Yoga Mat,Sports,Customer_2491,Europe,Rep_36,3,30.64,0.15,Apple Pay,78.13,51.65,26.48,8,3,2021
INV-248965,2021-08-08 19:23:03.091006,Jeans,Clothing,Customer_2905,Oceania,Rep_37,10,78.71,0.0,Credit Card,787.1,488.21,298.89,8,3,2021
INV-248677,2021-08-08 19:23:03.091006,RC Car,Toys,Customer_8261,Europe,Rep_33,11,61.42,0.1,Credit Card,608.06,356.73,251.33,8,3,2021
INV-219774,2021-08-08 19:23:03.091006,Tennis Racket,Sports,Customer_1625,South America,Rep_56,11,73.14,0.0,PayPal,804.54,425.03,379.51,8,3,2021
INV-240726,2021-08-08 19:23:03.091006,Running Shoes,Sports,Customer_4731,South America,Rep_76,5,121.51,0.0,PayPal,607.55,331.85,275.7,8,3,2021
INV-233755,2021-08-08 19:23:03.091006,Football,Sports,Customer_6892,North America,Rep_47,13,18.3,0.0,Bank Transfer,237.9,152.43,85.47,8,3,2021
INV-247108,2021-08-08 19:23:03.091006,Action Figure,Toys,Customer_9430,Europe,Rep_88,11,27.3,0.1,Credit Card,270.27,197.5,72.77,8,3,2021
INV-209001,2021-08-08 19:23:03.091006,Lego Set,Toys,Customer_2030,Asia,Rep_28,13,103.62,0.0,Debit Card,1347.06,762.43,584.63,8,3,2021
INV-221927,2021-08-08 19:23:03.091006,Board Game,Toys,Customer_4146,South America,Rep_47,1,59.18,0.0,Apple Pay,59.18,37.66,21.52,8,3,2021
INV-238292,2021-08-08 19:23:03.091006,Smartphone,Electronics,Customer_8842,Europe,Rep_72,9,816.05,0.0,PayPal,7344.45,3945.4,3399.05,8,3,2021
INV-231187,2021-08-08 19:23:03.091006,Smartwatch,Electronics,Customer_7616,North America,Rep_40,1,243.41,0.05,Credit Card,231.24,154.35,76.89,8,3,2021
INV-201524,2021-08-08 19:23:03.091006,Coffee Maker,Home & Garden,Customer_6072,South America,Rep_95,9,249.17,0.0,Bank Transfer,2242.53,1420.55,821.98,8,3,2021
INV-247570,2021-08-08 19:23:03.091006,Sneakers,Clothing,Customer_3183,Europe,Rep_89,10,89.45,0.1,PayPal,805.05,556.75,248.3,8,3,2021
INV-202247,2021-08-08 19:23:03.091006,Football,Sports,Customer_4756,Europe,Rep_30,14,29.9,0.0,PayPal,418.6,274.21,144.39,8,3,2021
