Invoice_ID,Date,Product,Category,Customer,Region,Salesperson,Units_Sold,Unit_Price,Discount,Payment_Method,Sales,Cost,Profit,Month,Quarter,Year
INV-201732,2021-08-07 20:58:04.925750,Blender,Home & Garden,Customer_7268,Asia,Rep_28,11,49.42,0.0,PayPal,543.62,331.35,212.27,8,3,2021
INV-238644,2021-08-07 20:58:04.925750,Bed Sheets,Home & Garden,Customer_3256,Asia,Rep_48,7,51.17,0.0,Apple Pay,358.19,205.45,152.74,8,3,2021
INV-217869,2021-08-07 20:58:04.925750,Laptop,Electronics,Customer_3332,South America,Rep_72,7,1054.97,0.15,PayPal,6277.07,3710.8,2566.27,8,3,2021
INV-201247,2021-08-07 20:58:04.925750,Bed Sheets,Home & Garden,Customer_9785,Europe,Rep_35,1,59.4,0.05,PayPal,56.43,36.81,19.62,8,3,2021
INV-207407,2021-08-07 20:58:04.925750,Blender,Home & Garden,Customer_7014,South America,Rep_79,14,60.08,0.0,PayPal,841.12,448.53,392.59,8,3,2021
INV-244710,2021-08-07 20:58:04.925750,T-Shirt,Clothing,Customer_1300,Oceania,Rep_27,6,19.89,0.0,Credit Card,119.34,70.51,48.83,8,3,2021
INV-214935,2021-08-07 20:58:04.925750,Sneakers,Clothing,Customer_6874,North America,Rep_57,11,86.06,0.0,Apple Pay,946.66,528.01,418.65,8,3,2021
INV-214136,2021-08-07 20:58:04.925750,Laptop,Electronics,Customer_9463,Europe,Rep_37,5,1406.02,0.0,Bank Transfer,7030.1,4300.94,2729.16,8,3,2021
INV-236607,2021-08-07 20:58:04.925750,Lego Set,Toys,Customer_4446,Asia,Rep_35,1,85.55,0.1,Credit Card,77.0,57.81,19.19,8,3,2021
INV-222820,2021-08-07 20:58:04.925750,Jeans,Clothing,Customer_8577,North America,Rep_79,6,50.08,0.2,Apple Pay,240.38,176.38,64.0,8,3,2021
INV-200947,2021-08-07 20:58:04.925750,Coffee Maker,Home & Garden,Customer_7943,South America,Rep_86,1,124.13,0.15,Credit Card,105.51,71.17,34.34,8,3,2021
