Invoice_ID,Date,Product,Category,Region,Customer,Units_Sold,Unit_Price,Discount,Payment_Method,Salesperson,Sales,Cost,Profit,Month,Quarter,Year
INV-033778,2019-06-03,Product_31,Clothing,East,Customer_691,19,280.4,0.29,Bank Transfer,Salesperson_88,3782.6,2255.71,1526.89,6,2,2019
INV-033199,2020-07-03,Product_42,Electronics,West,Customer_903,43,444.3,0.04,Credit Card,Salesperson_49,18340.7,11677.67,6663.03,7,3,2020
INV-027268,2018-09-02,Product_7,Toys,South,Customer_941,44,62.16,0.29,PayPal,Salesperson_91,1941.88,1891.95,49.93,9,3,2018
INV-043475,2022-02-11,Product_37,Toys,North,Customer_787,4,428.41,0.11,PayPal,Salesperson_95,1525.14,801.09,724.05,2,1,2022
INV-038835,2018-05-28,Product_23,Sports,West,Customer_571,25,13.58,0.21,PayPal,Salesperson_74,268.2,223.38,44.82,5,2,2018
INV-017196,2018-11-10,Product_11,Toys,Central,Customer_910,26,73.97,0.16,PayPal,Salesperson_13,1615.5,910.15,705.35,11,4,2018
INV-016396,2021-11-03,Product_13,Sports,Central,Customer_460,3,363.43,0.24,Debit Card,Salesperson_13,828.62,681.94,146.68,11,4,2021
INV-044625,2021-05-22,Product_45,Sports,North,Customer_75,18,281.31,0.2,Credit Card,Salesperson_62,4050.86,3117.24,933.62,5,2,2021
INV-042464,2021-10-30,Product_45,Home & Garden,Central,Customer_780,20,96.45,0.18,Cash,Salesperson_23,1581.78,1337.61,244.17,10,4,2021
INV-041784,2018-06-25,Product_36,Sports,South,Customer_392,14,57.91,0.1,PayPal,Salesperson_18,729.67,331.47,398.2,6,2,2018
INV-036715,2020-12-18,Product_28,Home & Garden,West,Customer_441,31,387.12,0.18,PayPal,Salesperson_17,9840.59,5338.13,4502.46,12,4,2020
INV-025498,2020-05-30,Product_44,Home & Garden,South,Customer_349,9,468.5,0.12,Bank Transfer,Salesperson_85,3710.52,2690.31,1020.21,5,2,2020
INV-037881,2021-08-12,Product_7,Sports,North,Customer_244,9,278.16,0.03,Debit Card,Salesperson_98,2428.34,1340.13,1088.21,8,3,2021
INV-047925,2022-02-23,Product_32,Home & Garden,West,Customer_540,3,17.13,0.02,PayPal,Salesperson_58,50.36,26.54,23.82,2,1,2022
INV-009329,2018-10-19,Product_21,Electronics,South,Customer_849,40,125.26,0.09,Bank Transfer,Salesperson_64,4559.46,2395.9,2163.56,10,4,2018
INV-040783,2019-04-14,Product_40,Sports,South,Customer_11,15,385.53,0.15,Debit Card,Salesperson_93,4915.51,3043.62,1871.89,4,2,2019
INV-005950,2022-12-25,Product_23,Toys,East,Customer_593,6,458.68,0.11,Bank Transfer,Salesperson_31,2449.35,1442.36,1006.99,12,4,2022
INV-042864,2022-11-02,Product_35,Toys,East,Customer_434,35,393.19,0.17,PayPal,Salesperson_22,11422.17,6382.82,5039.35,11,4,2022
INV-003511,2020-01-01,Product_24,Toys,West,Customer_537,29,399.66,0.17,Cash,Salesperson_35,9619.82,5144.83,4474.99,1,1,2020
INV-037809,2018-08-14,Product_4,Home & Garden,Central,Customer_815,8,407.21,0.12,Bank Transfer,Salesperson_96,2866.76,2202.53,664.23,8,3,2018
INV-048138,2020-11-14,Product_13,Toys,Central,Customer_442,5,306.82,0.27,Debit Card,Salesperson_1,1119.89,792.83,327.06,11,4,2020
INV-042084,2018-06-24,Product_50,Clothing,South,Customer_105,36,451.79,0.27,Bank Transfer,Salesperson_43,11873.04,7090.64,4782.4,6,2,2018
INV-047959,2018-09-10,Product_26,,North,Customer_29,40,198.91,0.08,Cash,Salesperson_14,7319.89,5468.28,1851.61,9,3,2018
INV-021324,2022-03-13,Product_44,Toys,North,Customer_412,34,333.3,0.1,Bank Transfer,Salesperson_85,10198.98,4963.47,5235.51,3,1,2022
INV-023118,2021-04-18,Product_32,Home & Garden,East,Customer_245,35,242.23,0.29,PayPal,Salesperson_2,6019.42,5648.89,370.53,4,2,2021
INV-002580,2021-01-20,Product_21,Electronics,South,Customer_377,18,276.25,0.02,PayPal,Salesperson_74,4873.05,2969.52,1903.53,1,1,2021
