Invoice_ID,Date,Product,Category,Customer,Region,Salesperson,Units_Sold,Unit_Price,Discount,Payment_Method,Sales,Cost,Profit,Month,Quarter,Year
INV-226912,2021-08-07 18:47:25.438077,Headphones,Electronics,Customer_2900,Asia,Rep_73,12,273.6,0.0,Debit Card,3283.2,1934.51,1348.69,8,3,2021
INV-212744,2021-08-07 18:47:25.438077,Football,Sports,Customer_4504,South America,Rep_80,8,33.8,0.0,PayPal,270.4,181.04,89.36,8,3,2021
INV-230335,2021-08-07 18:47:25.438077,Blender,Home & Garden,Customer_5052,Europe,Rep_48,9,46.49,0.0,Credit Card,418.41,291.32,127.09,8,3,2021
INV-228892,2021-08-07 18:47:25.438077,Vacuum Cleaner,Home & Garden,Customer_6105,Europe,Rep_69,12,217.92,0.0,Credit Card,2615.04,1670.32,944.72,8,3,2021
INV-249160,2021-08-07 18:47:25.438077,Coffee Maker,Home & Garden,Customer_4359,Asia,Rep_82,12,113.64,0.0,Apple Pay,1363.68,709.01,654.67,8,3,2021
INV-242476,2021-08-07 18:47:25.438077,Action Figure,Toys,Customer_2690,Europe,Rep_14,6,25.99,0.1,Bank Transfer,140.35,84.39,55.96,8,3,2021
INV-214381,2021-08-07 18:47:25.438077,Yoga Mat,Sports,Customer_4138,Oceania,Rep_81,10,27.92,0.0,Bank Transfer,279.2,155.58,123.62,8,3,2021
INV-246846,2021-08-07 18:47:25.438077,Action Figure,Toys,Customer_7891,Oceania,Rep_98,11,16.04,0.0,Debit Card,176.44,117.63,58.81,8,3,2021
INV-212759,2021-08-07 18:47:25.438077,Sneakers,Clothing,Customer_2634,Oceania,Rep_28,9,104.8,0.0,Debit Card,943.2,636.47,306.73,8,3,2021
INV-203015,2021-08-07 18:47:25.438077,Smartwatch,Electronics,Customer_7867,North America,Rep_63,3,355.86,0.15,Bank Transfer,907.44,728.59,178.85,8,3,2021
INV-201702,2021-08-07 18:47:25.438077,Desk Lamp,Home & Garden,Customer_6578,Asia,Rep_18,5,27.63,0.05,Apple Pay,131.24,73.52,57.72,8,3,2021
INV-230054,2021-08-07 18:47:25.438077,T-Shirt,Clothing,Customer_8712,Asia,Rep_32,6,20.86,0.1,Bank Transfer,112.64,66.94,45.7,8,3,2021
INV-211778,2021-08-07 18:47:25.438077,Lego Set,Toys,Customer_2809,North America,Rep_32,3,114.04,0.15,Credit Card,290.8,174.19,116.61,8,3,2021
INV-227235,2021-08-07 18:47:25.438077,Blender,Home & Garden,Customer_2776,Asia,Rep_44,7,95.43,0.0,PayPal,668.01,374.32,293.69,8,3,2021
INV-215665,2021-08-07 18:47:25.438077,Smartwatch,Electronics,Customer_5121,North America,Rep_46,12,223.27,0.0,PayPal,2679.24,1347.0,1332.24,8,3,2021
INV-246589,2021-08-07 18:47:25.438077,Bed Sheets,Home & Garden,Customer_3290,Europe,Rep_82,1,70.88,0.15,Bank Transfer,60.25,48.5,11.75,8,3,2021
INV-219538,2021-08-07 18:47:25.438077,Headphones,Electronics,Customer_2082,Europe,Rep_19,13,191.09,0.05,PayPal,2359.96,1673.34,686.62,8,3,2021
INV-214588,2021-08-07 18:47:25.438077,Tablet,Electronics,Customer_5501,Oceania,Rep_57,6,485.48,0.05,Apple Pay,2767.24,1535.89,1231.35,8,3,2021
INV-228380,2021-08-07 18:47:25.438077,Desk Lamp,Home & Garden,Customer_2704,Asia,Rep_50,4,49.94,0.15,PayPal,169.8,132.22,37.58,8,3,2021
INV-218225,2021-08-07 18:47:25.438077,Coffee Maker,Home & Garden,Customer_5513,Oceania,Rep_44,10,92.07,0.0,PayPal,920.7,581.11,339.59,8,3,2021
INV-225265,2021-08-07 18:47:25.438077,Puzzle,Toys,Customer_6123,North America,Rep_77,2,18.53,0.0,Debit Card,37.06,19.12,17.94,8,3,2021
INV-206744,2021-08-07 18:47:25.438077,Smartwatch,Electronics,Customer_1456,South America,Rep_51,5,330.21,0.1,PayPal,1485.94,997.14,488.8,8,3,2021
INV-215185,2021-08-07 18:47:25.438077,Tennis Racket,Sports,Customer_7318,Oceania,Rep_30,11,153.54,0.15,Apple Pay,1435.6,889.82,545.78,8,3,2021
INV-249097,2021-08-07 18:47:25.438077,Puzzle,Toys,Customer_2621,South America,Rep_21,1,13.82,0.15,Apple Pay,11.75,8.39,3.36,8,3,2021
INV-205805,2021-08-07 18:47:25.438077,Tennis Racket,Sports,Customer_4629,South America,Rep_46,4,136.9,0.05,PayPal,520.22,319.83,200.39,8,3,2021
INV-215330,2021-08-07 18:47:25.438077,Jeans,Clothing,Customer_4694,South America,Rep_46,12,40.99,0.05,Debit Card,467.29,291.25,176.04,8,3,2021
INV-203114,2021-08-07 18:47:25.438077,Puzzle,Toys,Customer_5456,Europe,Rep_59,12,20.62,0.05,PayPal,235.07,160.29,74.78,8,3,2021
INV-206015,2021-08-07 18:47:25.438077,Tennis Racket,Sports,Customer_5781,Europe,Rep_17,3,146.36,0.2,Bank Transfer,351.26,278.64,72.62,8,3,2021
INV-245987,2021-08-07 18:47:25.438077,Board Game,Toys,Customer_4797,Asia,Rep_89,9,37.9,0.05,Bank Transfer,324.04,177.67,146.37,8,3,2021
INV-201904,2021-08-07 18:47:25.438077,Tablet,Electronics,Customer_6541,North America,Rep_96,2,622.3,0.0,Debit Card,1244.6,641.74,602.86,8,3,2021
INV-229323,2021-08-07 18:47:25.438077,Smartphone,Electronics,Customer_7494,South America,Rep_73,14,628.35,0.15,Bank Transfer,7477.36,4764.72,2712.64,8,3,2021
INV-233438,2021-08-07 18:47:25.438077,Bed Sheets,Home & Garden,Customer_4430,North America,Rep_77,9,54.19,0.0,Credit Card,487.71,322.21,165.5,8,3,2021
INV-223583,2021-08-08 18:47:25.438077,Coffee Maker,Home & Garden,Customer_3980,Europe,Rep_11,12,110.24,0.0,Apple Pay,1322.88,869.65,453.23,8,3,2021
INV-211771,2021-08-08 18:47:25.438077,T-Shirt,Clothing,Customer_1168,Europe,Rep_58,10,28.61,0.15,Credit Card,243.18,193.98,49.2,8,3,2021
INV-210051,2021-08-08 18:47:25.438077,Blender,Home & Garden,Customer_1621,South America,Rep_97,6,43.47,0.1,Credit Card,234.74,136.26,98.48,8,3,2021
INV-238933,2021-08-08 18:47:25.438077,Sweater,Clothing,Customer_7129,Oceania,Rep_98,7,64.3,0.0,Bank Transfer,450.1,228.46,221.64,8,3,2021
INV-247162,2021-08-08 18:47:25.438077,Tablet,Electronics,Customer_7610,Europe,Rep_88,11,346.19,0.05,Credit Card,3617.69,2240.32,1377.37,8,3,2021
INV-206804,2021-08-08 18:47:25.438077,Puzzle,Toys,Customer_2184,North America,Rep_12,14,10.68,0.0,Apple Pay,149.52,83.55,65.97,8,3,2021
INV-243138,2021-08-08 18:47:25.438077,Smartphone,Electronics,Customer_7152,Oceania,Rep_70,9,556.34,0.0,Apple Pay,5007.06,3093.76,1913.3,8,3,2021
INV-233713,2021-08-08 18:47:25.438077,Sneakers,Clothing,Customer_1073,Oceania,Rep_52,7,115.44,0.15,Bank Transfer,686.87,421.36,265.51,8,3,2021
INV-224148,2021-08-08 18:47:25.438077,Vacuum Cleaner,Home & Garden,Customer_9119,Asia,Rep_61,3,132.6,0.0,Credit Card,397.8,273.98,123.82,8,3,2021
INV-228680,2021-08-08 18:47:25.438077,Desk Lamp,Home & Garden,Customer_2398,Oceania,Rep_94,9,51.38,0.0,Credit Card,462.42,292.92,169.5,8,3,2021
INV-212251,2021-08-08 18:47:25.438077,T-Shirt,Clothing,Customer_4252,Oceania,Rep_72,11,20.78,0.0,PayPal,228.58,153.45,75.13,8,3,2021
INV-221354,2021-08-08 18:47:25.438077,Football,Sports,Customer_4981,Asia,Rep_85,6,29.23,0.0,Debit Card,175.38,102.29,73.09,8,3,2021
INV-247505,2021-08-08 18:47:25.438077,Vacuum Cleaner,Home & Garden,Customer_6717,South America,Rep_60,8,189.08,0.05,PayPal,1437.01,885.84,551.17,8,3,2021
INV-208453,2021-08-08 18:47:25.438077,Puzzle,Toys,Customer_4717,North America,Rep_21,2,22.43,0.05,Debit Card,42.62,24.81,17.81,8,3,2021
INV-224733,2021-08-08 18:47:25.438077,Board Game,Toys,Customer_1043,Oceania,Rep_72,5,36.74,0.0,Debit Card,183.7,96.62,87.08,8,3,2021
INV-230684,2021-08-08 18:47:25.438077,Bed Sheets,Home & Garden,Customer_5024,Europe,Rep_53,9,41.4,0.15,Debit Card,316.71,207.4,109.31,8,3,2021
INV-208418,2021-08-08 18:47:25.438077,Dumbbells Set,Sports,Customer_3282,Europe,Rep_36,1,120.14,0.0,Credit Card,120.14,77.32,42.82,8,3,2021
INV-249706,2021-08-08 18:47:25.438077,Running Shoes,Sports,Customer_3084,Oceania,Rep_64,3,143.08,0.15,Bank Transfer,364.85,283.93,80.92,8,3,2021
INV-213125,2021-08-08 18:47:25.438077,Sneakers,Clothing,Customer_8070,Oceania,Rep_52,11,148.16,0.0,PayPal,1629.76,834.79,794.97,8,3,2021
INV-232012,2021-08-08 18:47:25.438077,RC Car,Toys,Customer_2775,Oceania,Rep_49,9,99.98,0.0,Bank Transfer,899.82,533.67,366.15,8,3,2021
INV-203225,2021-08-08 18:47:25.438077,Puzzle,Toys,Customer_7944,Asia,Rep_91,5,11.14,0.0,PayPal,55.7,38.3,17.4,8,3,2021
INV-238043,2021-08-08 18:47:25.438077,T-Shirt,Clothing,Customer_4714,Europe,Rep_34,1,31.25,0.1,Credit Card,28.12,16.17,11.95,8,3,2021
INV-245126,2021-08-08 18:47:25.438077,Board Game,Toys,Customer_5645,Asia,Rep_62,11,37.03,0.0,Bank Transfer,407.33,235.12,172.21,8,3,2021
INV-208710,2021-08-08 18:47:25.438077,Yoga Mat,Sports,Customer_2708,Oceania,Rep_12,13,39.09,0.05,Debit Card,482.76,324.63,158.13,8,3,2021
INV-236924,2021-08-08 18:47:25.438077,RC Car,Toys,Customer_1713,South America,Rep_18,11,70.35,0.0,Debit Card,773.85,477.58,296.27,8,3,2021
INV-205248,2021-08-08 18:47:25.438077,Tablet,Electronics,Customer_1291,Oceania,Rep_40,9,625.87,0.0,Bank Transfer,5632.83,3424.91,2207.92,8,3,2021
INV-231321,2021-08-08 18:47:25.438077,Football,Sports,Customer_2605,Europe,Rep_32,8,23.95,0.0,Credit Card,191.6,97.74,93.86,8,3,2021
INV-239612,2021-08-08 18:47:25.438077,Smartwatch,Electronics,Customer_8045,Oceania,Rep_74,7,321.22,0.05,Credit Card,2136.11,1339.51,796.6,8,3,2021
INV-218468,2021-08-08 18:47:25.438077,Bed Sheets,Home & Garden,Customer_6673,North America,Rep_51,13,35.97,0.0,Credit Card,467.61,237.56,230.05,8,3,2021
INV-246173,2021-08-09 18:47:25.438077,Headphones,Electronics,Customer_2385,Oceania,Rep_25,8,201.14,0.0,Debit Card,1609.12,852.67,756.45,8,3,2021
INV-224168,2021-08-09 18:47:25.438077,Running Shoes,Sports,Customer_1608,Asia,Rep_23,1,102.34,0.0,PayPal,102.34,53.45,48.89,8,3,2021
INV-228265,2021-08-09 18:47:25.438077,Bed Sheets,Home & Garden,Customer_3455,North America,Rep_32,11,40.09,0.1,Apple Pay,396.89,262.87,134.02,8,3,2021
INV-248807,2021-08-09 18:47:25.438077,Action Figure,Toys,Customer_5159,Europe,Rep_18,6,25.04,0.05,Bank Transfer,142.73,102.93,39.8,8,3,2021
INV-207884,2021-08-09 18:47:25.438077,Lego Set,Toys,Customer_3950,Oceania,Rep_68,6,111.93,0.2,Bank Transfer,537.26,435.49,101.77,8,3,2021
INV-233057,2021-08-09 18:47:25.438077,Desk Lamp,Home & Garden,Customer_6061,Asia,Rep_61,9,21.61,0.0,Debit Card,194.49,132.2,62.29,8,3,2021
INV-239373,2021-08-09 18:47:25.438077,Blender,Home & Garden,Customer_6928,Asia,Rep_81,12,47.33,0.0,Debit Card,567.96,306.25,261.71,8,3,2021
